Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 1)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 2)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 3)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 2)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 3)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 1)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 2)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
955,29702.4,29537.383333330003,29797.45,29453.41666666,936.0,906.0,936.0,880.0,904.0,893.0,31561359.0,2159.0,4
960,30008.95,29499.71666666,29558.36666666,29348.25,934.0,904.0,937.0,880.0,902.0,893.0,42287576.0,1608.0,4
965,29668.583333330003,29814.083333330003,29711.766666659998,29436.75,937.0,901.0,934.0,873.0,904.0,894.0,51201089.0,714.0,4
970,30254.66666666,30086.71666666,29662.883333330003,29926.16666666,934.0,897.0,935.0,871.0,900.0,888.0,15835921.0,2522.0,4
975,29757.633333330003,30551.7,30506.86666666,30385.433333330002,937.0,898.0,934.0,880.0,905.0,892.0,39077851.0,1128.0,4
980,29916.35,29767.516666659998,29845.25,29595.0,941.0,906.0,941.0,888.0,913.0,903.0,36013609.0,628.0,4
985,31335.23333333,29668.5,30809.91666666,29437.45,939.0,908.0,938.0,891.0,915.0,905.0,22778814.0,1949.0,4
990,30934.316666659997,30677.35,29326.6,30649.7,936.0,907.0,946.0,884.0,885.0,877.0,47850056.0,652.0,4
995,29451.383333330003,28143.133333330003,27966.71666666,27752.516666659998,941.0,914.0,949.0,894.0,907.0,903.0,47850056.0,652.0,4
1000,28293.2,28639.6,30103.25,28401.183333330002,941.0,910.0,947.0,889.0,921.0,918.0,17589679.0,1547.0,4
1005,29003.36666666,30001.91666666,30086.883333330003,30299.75,944.0,915.0,949.0,894.0,890.0,891.0,41446429.0,716.0,4
